vehicle_id,vehicle_localmips,total_tasks,total_task_mips,tasks_completed_local,local_failed,tasks_from_others,other_task_mips,others_completed,others_failed,total_execution_time,total_computation_time,simulation_time,trust_factor,z_score,other_total_comp_time
736,2557.821734,785,590272.0477,206,0,579,435766.0269,579,0,230.7713786,230.7713786,6000,17036.60662,0.237844345,170.3660662
739,1233.798154,270,202422.2137,53,0,217,162158.9319,150,67,164.0642864,122.6817253,6000,4866.555902,4.129840987,90.04812013
742,1941.363448,601,454112.1978,276,0,325,244987.7572,271,54,233.9140557,213.5473943,6000,8546.033628,1.889004918,105.8269977
745,2971.976413,564,427468.7788,353,0,211,159954.2123,209,2,143.8331667,143.4621321,6000,5307.875238,0.417831764,53.44978699
748,1243.288083,269,203806.7042,47,0,222,169003.0954,144,78,163.9255673,116.1251631,6000,4033.15614,4.550538597,88.13196559
751,2706.886691,634,473979.8434,156,0,478,357134.8901,465,13,175.1014717,171.6981235,6000,12512.89666,0.492396549,128.5323148
754,1992.522327,467,351381.5971,270,0,197,151456.0454,188,9,176.3501429,172.5571295,6000,6842.61931,1.534095859,72.21920655
757,1257.226817,412,307892.125,154,0,258,192398.406,196,62,244.8978346,210.0502829,6000,8333.886269,3.950211241,118.1864144
760,2484.95247,771,580716.3849,177,0,594,447268.5257,570,24,233.6931559,226.0710353,6000,16474.65359,0.568726278,172.3686564
763,2299.470495,546,410549.8768,142,0,404,302733.4344,404,0,178.54105,178.54105,6000,13165.35415,0.328965084,131.6535415
766,2934.472467,595,446634.2761,216,0,379,284371.1148,374,5,152.2025785,150.8659765,6000,9423.386121,0.42844867,95.57046321
769,1553.453019,336,253950.315,105,0,231,174175.4265,187,44,163.4747314,142.171542,6000,6951.508512,2.752379397,90.8182745
772,2825.304031,775,579507.24,264,0,511,382328.8471,511,0,205.1132316,205.1132316,6000,13532.30813,0.239711955,135.3230813
775,1697.867381,502,382574.7645,120,0,382,293895.6325,364,18,225.3266472,216.9606425,6000,15636.49214,1.182597507,164.730926
778,1556.363083,373,278488.4063,90,0,283,212474.2473,259,24,178.9353715,168.0036361,6000,11465.62461,1.674693978,125.5879814
781,2454.501085,755,564143.519,157,0,598,447256.0343,598,0,229.8404031,229.8404031,6000,18221.87152,0.242578224,182.2187152
784,2167.257822,695,512592.453,111,0,584,429689.3338,543,41,236.5166007,222.1042211,6000,16943.93002,0.761092209,183.8516798
787,3038.634731,942,707049.3836,277,0,665,496049.151,665,0,232.686534,232.686534,6000,16324.73775,0.223766435,163.2473775
790,1051.227112,327,246649.8752,76,0,251,186445.1717,106,145,234.6304356,133.3662703,6000,-2516.877668,4.845470494,76.09538864
793,3258.457404,657,488823.0469,242,0,415,309154.6811,415,0,150.0167062,150.0167062,6000,9487.76193,0.224272462,94.8776193
796,1260.413881,408,303192.5127,134,0,274,202441.8028,204,70,240.5499632,198.0863673,6000,7568.814715,3.143447053,118.1517431
799,1301.651334,412,308910.2443,71,0,341,257192.4415,261,80,237.3218052,190.1253159,6000,10319.63717,2.803488982,150.392861
802,1896.406052,411,308793.1907,103,0,308,231181.9336,271,37,162.8307346,147.814179,6000,9187.218073,1.793087562,106.8887364
805,1468.51526,452,344155.6356,120,0,332,252213.9048,258,74,234.3561861,195.8001994,6000,9463.558114,2.400034251,133.1915678
808,2004.704588,645,482365.8668,129,0,516,385735.1258,492,24,240.6169316,231.9796364,6000,17514.03559,0.76757087,183.7776512
811,2454.763313,741,557528.2431,131,0,610,458209.1795,583,27,227.1209775,219.0681458,6000,17055.5583,0.459109055,178.6084147
814,2191.787759,689,514226.141,146,0,543,405289.4157,511,32,234.6149342,223.9401369,6000,16356.3116,0.751208573,174.2379133
817,1979.260015,471,353700.2001,92,0,379,285308.8455,354,25,178.7032515,168.3792207,6000,12350.11879,1.192143987,133.8252187
820,1704.462164,526,397268.4515,158,0,368,275302.2907,239,129,233.0755471,175.8272997,6000,4702.207472,2.32381772,104.2703222
823,2067.006904,492,363393.9786,117,0,375,277159.6463,370,5,175.8068529,174.0577175,6000,13058.91607,0.587291012,132.338296
826,2189.965576,861,644392.4635,183,0,678,506932.6907,636,42,294.2477592,279.1835924,6000,20135.14194,0.400925878,216.4155862
829,2558.66255,583,437032.8013,158,0,425,316779.9571,383,42,170.8051737,158.5255178,6000,9924.754078,0.856942934,111.5271967
832,2625.55993,808,605498.4894,142,0,666,500727.3864,666,0,230.6168991,230.6168991,6000,19071.26098,0.235223975,190.7126098
835,2484.345653,767,576504.5182,118,0,649,485856.1449,641,8,232.0548744,229.483059,6000,19042.3417,0.371214054,192.9952324
838,1408.499053,454,341322.5301,62,0,392,295448.0099,305,87,242.3306778,197.7452323,6000,12058.99955,2.265592598,165.175441
841,2291.404686,543,408850.3275,136,0,407,304518.5683,400,7,178.4278133,176.0472332,6000,12813.4862,0.558198543,130.5154422
844,2261.466029,684,512412.1637,308,0,376,282323.4427,371,5,226.5840642,224.8313167,6000,12133.54,0.561428035,123.0881474
847,3021.91385,918,685060.3965,123,0,795,594142.0693,762,33,226.6975269,218.6875334,6000,18059.12001,0.307879033,188.6011936
850,3474.282221,802,599230.5461,175,0,627,469695.4204,625,2,172.4760707,172.0387722,6000,13431.74773,0.202448871,134.7547758
853,2844.959952,823,613297.193,194,0,629,470576.5564,629,0,215.5732254,215.5732254,6000,16540.70933,0.211520137,165.4070933
856,3448.729059,660,488930.1358,232,0,428,316655.7072,428,0,141.7711068,141.7711068,6000,9181.80877,0.196136602,91.8180877
859,2724.614408,859,641769.0997,197,0,662,491913.707,648,14,235.5449262,231.7052063,6000,17286.48992,0.210872808,176.704619
862,2072.033006,506,378822.3153,93,0,413,311976.9235,380,33,182.8263904,170.6873791,6000,12628.75922,1.087379621,138.4266035
865,3244.469482,711,535518.6052,145,0,566,425217.1351,566,0,165.0558306,165.0558306,6000,13105.90645,0.20760916,131.0590645
868,2255.425769,910,677491.5522,223,0,687,512272.7396,659,28,300.3829971,291.4399105,6000,20924.28888,0.394203168,218.1859755
871,2793.046924,590,451123.9908,164,0,426,324341.618,423,3,161.5167962,160.7959686,6000,11468.30025,0.342695695,115.4038301
874,2084.395182,490,371190.5623,105,0,385,290837.534,367,18,178.0807044,171.1780656,6000,12572.56215,0.905045165,132.6282603
877,3418.618415,733,550163.0573,195,0,538,404117.1573,526,12,160.9314029,158.4239015,6000,11319.56626,0.364118419,115.703164
880,3325.120369,644,482499.8668,230,0,414,312312.1824,411,3,145.1074888,144.4895821,6000,9268.926229,0.247734849,93.307169
883,2759.592927,610,460912.4581,141,0,469,358608.458,461,8,167.0219015,164.9869551,6000,12587.98742,0.406632284,127.9148206
886,1337.210554,304,224609.7044,65,0,239,176182.2326,226,13,167.968839,160.7187631,6000,11725.33943,1.802077005,124.5034703
889,3049.675393,658,492794.2375,178,0,480,358812.1083,467,13,161.5890788,158.1644539,6000,11080.65863,0.459921077,114.2312112
892,2929.707579,877,655681.2162,117,0,760,569838.2701,760,0,223.8043213,223.8043213,6000,19450.34632,0.188007838,194.5034632
895,3033.307799,583,442854.6411,286,0,297,229431.2437,297,0,145.9972645,145.9972645,6000,7563.731044,0.28251979,75.63731044
898,1748.334598,557,414245.6594,92,0,465,346580.1451,394,71,236.9372887,207.4233228,6000,13920.6517,1.464644262,168.7204828
901,1643.732408,624,466741.941,167,0,457,342023.3908,382,75,283.9525087,248.9785276,6000,13812.93314,2.151315523,173.1033125
904,2389.714249,552,418997.998,120,0,432,324207.9894,431,1,175.333933,175.121725,6000,13524.36829,0.347389377,135.455891
907,3379.436777,1082,813610.4372,216,0,866,652563.8424,865,1,240.7532648,240.5343712,6000,19266.06151,0.164247011,192.8795087
910,1933.570877,606,454889.5721,100,0,506,380421.9171,437,69,235.258804,208.5262272,6000,14328.06298,1.259843048,170.0132066
913,1051.868417,252,189365.2455,42,0,210,157055.368,150,60,180.0275037,136.7647265,6000,6278.529612,4.744964931,106.0480733
916,1368.348769,319,240854.5646,160,0,159,119147.9026,134,25,176.0184026,162.3970452,6000,5983.150581,4.195598979,73.4528632
919,1230.500745,297,224622.5845,156,0,141,105549.6901,120,21,182.5456714,170.2951103,6000,6127.671314,3.764297658,73.52727419
922,2320.350081,552,417144.0313,128,0,424,320224.4242,398,26,179.776334,171.6147341,6000,12168.37443,0.609927115,129.8453443
